N,OMP,EXE,rep,first_residual,last_residual,Cext,elapsed_time,num_iterations,num_matvec,total_time,solver_time
150,1,ifdda,1,0.560813630473936,8.50246932583166e-05,2.4729875277382773e-11,2:29.56,54,110,149.243,135.212
150,1,ifdda,2,0.5608136304739361,8.514184642797238e-05,2.4729875277400366e-11,2:30.23,54,110,149.828,135.179
150,1,ifdda,3,0.560813630473936,8.50510335628931e-05,2.4729875277367964e-11,2:25.54,54,110,145.17,131.327
150,1,ifdda,4,0.560813630473936,8.50246932583166e-05,2.4729875277382773e-11,3:27.16,54,110,206.735,190.099
150,2,ifdda,1,0.5608136304887263,8.651989200010513e-05,2.472987527738017e-11,1:42.17,54,110,101.765,88.802
150,2,ifdda,2,0.5608136304887263,8.651989200010513e-05,2.472987527738017e-11,1:43.99,54,110,103.564,90.244
150,2,ifdda,3,0.5608136304887263,8.654021456475182e-05,2.4729875277438055e-11,1:44.77,54,110,104.381,90.189
150,2,ifdda,4,0.5608136304887263,8.644125517243565e-05,2.4729875277359902e-11,1:45.48,54,110,105.158,91.692
150,5,ifdda,1,0.5608136304909409,8.683027844299894e-05,2.472987527738364e-11,0:59.20,54,110,58.834,48.731
150,5,ifdda,2,0.5608136304909409,8.668246124015118e-05,2.472987527735696e-11,0:59.41,54,110,59.09,48.856
150,5,ifdda,3,0.5608136304909409,8.608587066916411e-05,2.4729875277386615e-11,0:59.36,54,110,59.028999999994994,48.63999999999942
150,5,ifdda,4,0.5608136304909409,8.606610790857755e-05,2.472987527731968e-11,0:59.33,54,110,58.972,48.772
150,10,ifdda,1,0.560813630489814,8.163708818444311e-05,2.4729875277399038e-11,1:00.12,54,110,59.792,49.046
150,10,ifdda,2,0.560813630489814,8.144435689421113e-05,2.472987527739273e-11,1:06.28,54,110,65.924,55.343
150,10,ifdda,3,0.560813630489814,8.146534575783982e-05,2.47298752773883e-11,1:04.89,54,110,64.564,53.412
150,10,ifdda,4,0.5608136304898139,8.165203905985725e-05,2.472987527737863e-11,1:01.38,54,110,61.059,49.781
150,15,ifdda,1,0.560813630488704,8.384231917437772e-05,2.47298752773861e-11,0:57.74,54,110,57.386,45.708
150,15,ifdda,2,0.5608136304887041,8.422474481525782e-05,2.4729875277379128e-11,0:56.63,54,110,56.325,45.676
150,15,ifdda,3,0.560813630488704,8.436617413144648e-05,2.472987527741347e-11,0:56.17,54,110,55.818,45.681
150,15,ifdda,4,0.5608136304887041,8.391822899644025e-05,2.4729875277365098e-11,0:58.15,54,110,57.819,46.627
150,22,ifdda,1,0.5608136304881897,8.626330547583722e-05,2.4729875277377897e-11,1:15.20,54,110,74.837,58.817
150,22,ifdda,2,0.5608136304881896,8.645215901919411e-05,2.472987527737354e-11,1:13.92,54,110,73.577,55.996
150,22,ifdda,3,0.5608136304881897,8.619702331409046e-05,2.472987527737273e-11,1:13.41,54,110,73.03499999999998,53.207
150,22,ifdda,4,0.5608136304881897,8.629675044861726e-05,2.4729875277382456e-11,1:07.10,54,110,66.746,53.166
250,1,ifdda,1,0.5608093949695172,8.194642932243035e-05,2.473004976668856e-11,12:33.92,54,110,753.0019999999998,693.299
250,1,ifdda,2,0.5608093949695172,8.194484955621894e-05,2.4730049766541902e-11,13:24.13,54,110,803.1939999999998,743.35
250,1,ifdda,3,0.5608093949695172,8.194484955621894e-05,2.4730049766541902e-11,12:28.76,54,110,747.72,687.988
250,1,ifdda,4,0.5608093949695172,8.195137189087738e-05,2.4730049766839978e-11,12:39.00,54,110,757.7519999999998,697.932
250,2,ifdda,1,0.56080939497274,8.443428596208638e-05,2.4730049766724622e-11,8:20.02,54,110,498.942,442.589
250,2,ifdda,2,0.5608093949727398,8.445354146578962e-05,2.473004976709709e-11,8:09.90,54,110,488.633,431.962
250,2,ifdda,3,0.5608093949727398,8.444487512905673e-05,2.473004976761448e-11,8:10.72,54,110,489.707,433.062
250,2,ifdda,4,0.5608093949727398,8.444406384678873e-05,2.473004976709368e-11,8:19.35,54,110,498.294,442.0
250,5,ifdda,1,0.5608093949822767,8.418891608332826e-05,2.473004976742641e-11,4:37.48,54,110,276.268,241.419
250,5,ifdda,2,0.5608093949822768,8.421809054370861e-05,2.4730049768114686e-11,4:38.93,54,110,277.68,242.127
250,5,ifdda,3,0.5608093949822768,8.417170064530538e-05,2.473004976733492e-11,4:39.18,54,110,277.966,242.499
250,5,ifdda,4,0.5608093949822767,8.420237842814288e-05,2.4730049767302896e-11,4:37.46,54,110,276.205,242.039
250,10,ifdda,1,0.5608093949982395,8.155972761497139e-05,2.4730049767201107e-11,4:31.47,54,110,270.414,237.573
250,10,ifdda,2,0.5608093949982393,8.150143301703148e-05,2.47300497671594e-11,4:17.03,54,110,255.739,224.199
250,10,ifdda,3,0.5608093949982392,8.147085171333673e-05,2.473004976746817e-11,4:19.39,54,110,258.316,228.254
250,10,ifdda,4,0.5608093949982393,8.146765290918864e-05,2.4730049767176734e-11,4:24.14,54,110,262.803,230.296
250,15,ifdda,1,0.5608093949984628,8.164564591220813e-05,2.4730049766989737e-11,4:13.88,54,110,252.757,218.223
250,15,ifdda,2,0.5608093949984628,8.156347844951132e-05,2.4730049767154e-11,3:56.66,54,110,235.58,201.629
250,15,ifdda,3,0.5608093949984628,8.15916039690892e-05,2.4730049767309972e-11,3:55.74,54,110,234.528,201.624
250,15,ifdda,4,0.5608093949984628,8.16321332429493e-05,2.4730049766828992e-11,3:57.73,54,110,236.599,202.169
250,22,ifdda,1,0.5608093949981252,8.296755870900307e-05,2.4730049767003608e-11,4:32.67,54,110,271.314,234.092
250,22,ifdda,2,0.5608093949981249,8.31272991702801e-05,2.4730049767309064e-11,4:09.02,54,110,247.942,209.366
250,22,ifdda,3,0.5608093949981252,8.302248767931134e-05,2.4730049767305765e-11,4:02.13,54,110,240.887,206.48
250,22,ifdda,4,0.5608093949981252,8.316652218517315e-05,2.4730049767256367e-11,4:30.05,54,110,268.772,232.899
